topic,word_id,word,meaning,romanization
korean_topik_1,k_0002,하다,To do,hada
korean_topik_1,k_0003,있다,To be,itda
korean_topik_1,k_0004,수,"way, method, Number",su
korean_topik_1,k_0005,하다,To do,hada
korean_topik_1,k_0006,나,I,na
korean_topik_1,k_0007,없다,"Do not exist, absent",eopda
korean_topik_1,k_0008,않다,To not do,anta
korean_topik_1,k_0009,사람,Person,saram
korean_topik_1,k_0010,우리,"we, our",uri
korean_topik_1,k_0011,그,"He, That",geu
korean_topik_1,k_0012,아니다,To not be,anida
korean_topik_1,k_0013,보다,To try,boda
korean_topik_1,k_0014,거,thing,geo
korean_topik_1,k_0015,보다,To see,boda
korean_topik_1,k_0016,같다,To be similar,gatda
korean_topik_1,k_0017,주다,"To give, to do for a person",juda
korean_topik_1,k_0018,대하다,"Face, confront",daehada
korean_topik_1,k_0019,가다,To go,gada
korean_topik_1,k_0020,년,Year,nyeon
korean_topik_1,k_0021,한,"One, a single",han
korean_topik_1,k_0022,말,"words,speaking",mal
korean_topik_1,k_0023,일,Work,il
korean_topik_1,k_0024,이,"A person, a man/woman",i
korean_topik_1,k_0025,말하다,Speak,malhada
korean_topik_1,k_0026,위하다,To do for the sake of,wihada
korean_topik_1,k_0027,그러나,However or but still,geureona
korean_topik_1,k_0028,오다,To come,oda
korean_topik_1,k_0029,알다,To know,alda
korean_topik_1,k_0030,씨,~ Mr.,ssi
korean_topik_1,k_0031,그렇다,That is right or yes.,geureota
korean_topik_1,k_0032,크다,"To be big, large",keuda
korean_topik_1,k_0033,일,One day,il
korean_topik_1,k_0034,사회,"culture,society",sahoe
korean_topik_1,k_0035,많다,"many, much",manta
korean_topik_1,k_0036,안,~ not ~ + VERB,an
korean_topik_1,k_0037,좋다,To be good,jota
korean_topik_1,k_0038,더,More,deo
korean_topik_1,k_0039,받다,Receive,batda
korean_topik_1,k_0040,그것,That thing,geugeot
korean_topik_1,k_0041,집,House,jip
korean_topik_1,k_0042,나오다,Come out,naoda
korean_topik_1,k_0043,그리고,And or and then,geurigo
korean_topik_1,k_0044,문제,"question,problem",munje
korean_topik_1,k_0045,그런,Such a,geureon
korean_topik_1,k_0046,살다,To live,salda
korean_topik_1,k_0047,저,That,jeo
korean_topik_1,k_0048,못하다,Be impossible,mothada
korean_topik_1,k_0049,생각하다,To think,saenggakhada
korean_topik_1,k_0050,모르다,To not know,moreuda
korean_topik_1,k_0051,속,The inside,sok
korean_topik_1,k_0052,만들다,To make,mandeulda
korean_topik_1,k_0053,데,"Place, point, instance",de
korean_topik_1,k_0054,앞,"In front of, before",ap
korean_topik_1,k_0055,경우,A case or an instance,gyeongu
korean_topik_1,k_0056,중,"The center, the middle",jung
korean_topik_1,k_0057,어떤,"What kind of, what sort of",eotteon
korean_topik_1,k_0058,잘,Well,jal
korean_topik_1,k_0059,그녀,She,geunyeo
korean_topik_1,k_0060,먹다,"Eat, chow down on",meokda
korean_topik_1,k_0061,자신,"one’s own self, one\’s own body",jasin
korean_topik_1,k_0062,문화,culture,munhwa
korean_topik_1,k_0063,원,"A unit of south korean money, KRW",won
korean_topik_1,k_0064,생각,Thought,saenggak
korean_topik_1,k_0065,어떻다,"how,what.. do you think of",eotteota
korean_topik_1,k_0066,명,Person counter,myeong
korean_topik_1,k_0067,통하다,"Run, lead; flow; go through",tonghada
korean_topik_1,k_0068,그러다,"and so, and then, well",geureoda
korean_topik_1,k_0069,그러다,"and so, and then, well",geureoda
korean_topik_1,k_0070,소리,"A sound,noise",sori
korean_topik_1,k_0071,다시,Again,dasi
korean_topik_1,k_0072,다른,Different,dareun
korean_topik_1,k_0073,이런,"Such, like this",ireon
korean_topik_1,k_0074,여자,"woman,female",yeoja
korean_topik_1,k_0075,개,Unit or piece,gae
korean_topik_1,k_0076,정도,"grade,degree",jeongdo
korean_topik_1,k_0077,다,"All, everything",da
korean_topik_1,k_0078,좀,A little,jom
korean_topik_1,k_0079,싶다,"want,hope",sipda
korean_topik_1,k_0080,보이다,"see,catch sight of",boida
korean_topik_1,k_0081,가지다,To have or take or hold,gajida
korean_topik_1,k_0082,함께,"Together, with",hamkke
korean_topik_1,k_0083,아이,Child,ai
korean_topik_1,k_0084,지나다,"pass,elapse,go on",jinada
korean_topik_1,k_0085,많이,A lot,mani
korean_topik_1,k_0086,시간,Time,sigan
korean_topik_1,k_0087,너,You,neo
korean_topik_1,k_0088,인간,"A person, a human being",ingan
korean_topik_1,k_0089,사실,"The truth, a fact",sasil
korean_topik_1,k_0090,나다,To be born,nada
korean_topik_1,k_0091,이렇다,Like this,ireota
korean_topik_1,k_0092,어머니,Mom,eomeoni
korean_topik_1,k_0093,눈,Eyes,nun
korean_topik_1,k_0094,뭐,Huh? (2) something,mwo
korean_topik_1,k_0095,점,Store,jeom
korean_topik_1,k_0096,의하다,"To be due to, owing to",uihada
korean_topik_1,k_0097,시대,"An age,period",sidae
korean_topik_1,k_0098,다음,Next,da-eum
korean_topik_1,k_0099,이러하다,"Be this way, be like follows",ir-eohada
korean_topik_1,k_0100,누구,Who,nugu
korean_topik_1,k_0101,곳,Place,got
korean_topik_1,k_0102,여러,"many,various",yeoreo
korean_topik_1,k_0103,안,Inside,an
korean_topik_1,k_0104,하나,One,hana
korean_topik_1,k_0105,세계,World,segye
korean_topik_1,k_0106,버리다,"(following a verb) the verb\’s action is over, perhaps in a sad way",beorida
korean_topik_1,k_0107,위,"The upper part, above",wi
korean_topik_1,k_0108,운동,"Motion, movement",undong
korean_topik_1,k_0109,퍼센트,Percent,peosenteu
korean_topik_1,k_0110,학교,School,hakgyo
korean_topik_1,k_0111,자기,"Oneself, number one, numerouno, self",jagi
korean_topik_1,k_0112,가장,Most,gajang
korean_topik_1,k_0113,대통령,The president,daetongnyeong
korean_topik_1,k_0114,가지,One of the kind or a sort,gaji
korean_topik_1,k_0115,시작하다,"To start,begin",sijakhada
korean_topik_1,k_0116,바로,"Right, correctly",baro
korean_topik_1,k_0117,어느,"Some, a certain",eoneu
korean_topik_1,k_0118,그래서,And so accordingly,geuraeseo
korean_topik_1,k_0119,무엇,"That thing,whatever",mueot
korean_topik_1,k_0120,정부,Government,jeongbu
korean_topik_1,k_0121,모든,Every one,modeun
korean_topik_1,k_0122,번,"Number, how many times",beon
korean_topik_1,k_0123,그거,That thing,geugeo
korean_topik_1,k_0124,돈,Money,don
korean_topik_1,k_0125,국가,A state or a nation,gukga
korean_topik_1,k_0126,그런데,But or however,geureonde
korean_topik_1,k_0127,날,Day,nal
korean_topik_1,k_0128,여기,A hobby,yeogi
korean_topik_1,k_0129,모두,Everybody,modu
korean_topik_1,k_0130,여성,Female,yeoseong
korean_topik_1,k_0131,친구,A friend,chingu
korean_topik_1,k_0132,마음,Heart,maeum
korean_topik_1,k_0133,후,After,hu
korean_topik_1,k_0134,놓다,"Put, place",nota
korean_topik_1,k_0135,관계,Connection or relation,gwangye
korean_topik_1,k_0136,아버지,Father,abeoji
korean_topik_1,k_0137,남자,Boy,namja
korean_topik_1,k_0138,어디,Where?,eodi
korean_topik_1,k_0139,몸,"body,physique",mom
korean_topik_1,k_0140,얼굴,Face,eolgul
korean_topik_1,k_0141,왜,Why?,wae
korean_topik_1,k_0142,나타나다,"Come out, appear",natanada
korean_topik_1,k_0143,지역,"An area, region",jiyeok
korean_topik_1,k_0144,다르다,Be different,dareuda
korean_topik_1,k_0145,모습,"shape,body",moseup
korean_topik_1,k_0146,물,Water,mul
korean_topik_1,k_0147,만나다,Meet,mannada
korean_topik_1,k_0148,내다,produce something,naeda
korean_topik_1,k_0149,보이다,"show,let see",boida
korean_topik_1,k_0150,쓰다,To write,sseuda
korean_topik_1,k_0151,이것,This thing,igeot
korean_topik_1,k_0152,없이,Without,eopsi
korean_topik_1,k_0153,이번,This time,ibeon
korean_topik_1,k_0154,길,Road,gil
korean_topik_1,k_0155,생활,"lifestyle,livelihood",saenghwal
korean_topik_1,k_0156,쓰다,Take (medicine),sseuda
korean_topik_1,k_0157,뿐,"only,alone,merely",ppun
korean_topik_1,k_0158,사이,space between 2 points; the relationship between 2 people,sai
korean_topik_1,k_0159,방법,"Way, method",bangbeop
korean_topik_1,k_0160,새롭다,"To be new,novel",saeropda
korean_topik_1,k_0161,내다,"to see through, to make it through sth",naeda
korean_topik_1,k_0162,앉다,To sit down,anjda
korean_topik_1,k_0163,처음,First,cheoeum
korean_topik_1,k_0164,손,The hand,son
korean_topik_1,k_0165,몇,A few,myeot
korean_topik_1,k_0166,그때,Then or at that time,geuttae
korean_topik_1,k_0167,과정,Process or course,gwajeong
korean_topik_1,k_0168,삶,Life,salm
korean_topik_1,k_0169,갖다,To hold,gatda
korean_topik_1,k_0170,찾다,"seek,look for",chatda
korean_topik_1,k_0171,특히,Especially,teukhi
korean_topik_1,k_0172,시,Time,si
korean_topik_1,k_0173,이상,"More than, above",isang
korean_topik_1,k_0174,지금,Now,jigeum
korean_topik_1,k_0175,나가다,To go out,nagada
korean_topik_1,k_0176,이야기,"Conversation, talk",iyagi
korean_topik_1,k_0177,교육,Education,gyoyuk
korean_topik_1,k_0178,사다,"To buy, purchase",sada
korean_topik_1,k_0179,경제,Economy,gyeongje
korean_topik_1,k_0180,아직,Still,ajik
korean_topik_1,k_0181,잡다,"seize,catch",japda
korean_topik_1,k_0182,같이,Together,gachi
korean_topik_1,k_0183,선생님,Teacher,seonsaengnim
korean_topik_1,k_0184,예술,"Art, an art",yesul
korean_topik_1,k_0185,서다,To stand,seoda
korean_topik_1,k_0186,못,Cannot,mot
korean_topik_1,k_0187,역사,History,yeoksa
korean_topik_1,k_0188,읽다,To read,ikda
korean_topik_1,k_0189,결과,Result,gyeolgwa
korean_topik_1,k_0190,내용,Contents,naeyong
korean_topik_1,k_0191,물론,Of course,mullon
korean_topik_1,k_0192,책,A book,chaek
